"INV_REF","CLUST_ID","PLOT_ID","Ecoregion","DATE","LAT","LON","ACDobs","SaatchiOrig1km","Saatchi1km","BacciniOrig500m","Baccini1km","ELEV","EVI","VCF","TEMP","TSEAS","PRECIP"
"JariAla (DGF/USAID)","22-01","22-01A","moist","11.2007",-14.6853055555292,50.0324722226472,131.7,179.412292480469,161,139.59,129.72,434,0.534537076950073,75.3333333333333,224,1981,1964
"JariAla (DGF/USAID)","22-01","22-01B","moist","11.2007",-14.6853055555292,50.0324722226472,144.1,179.412292480469,161,139.59,129.72,434,0.534537076950073,75.3333333333333,224,1981,1964
"JariAla (DGF/USAID)","22-01","22-01C","moist","11.2007",-14.6853055555292,50.0324722226472,80.3,179.412292480469,161,139.59,129.72,434,0.534537076950073,75.3333333333333,224,1981,1964
"JariAla (DGF/USAID)","22-03","22-03A","moist","11.2007",-14.6869999999472,50.0036944444972,189.3,173.837982177734,181,100.58,149.46,436,0.518260836601257,79,223,2011,1973
"JariAla (DGF/USAID)","22-03","22-03B","moist","11.2007",-14.6869999999472,50.0036944444972,135.1,173.837982177734,181,100.58,149.46,436,0.518260836601257,79,223,2011,1973
"JariAla (DGF/USAID)","22-03","22-03C","moist","11.2007",-14.6869999999472,50.0036944444972,132,173.837982177734,181,100.58,149.46,436,0.518260836601257,79,223,2011,1973
"JariAla (DGF/USAID)","22-04","22-04A","moist","11.2007",-14.6929999997889,49.9853888889153,124.7,118.889938354492,124,130.19,131.6,517,0.533147633075714,74.3333333333333,217,2081,1945
"JariAla (DGF/USAID)","22-05","22-05A","moist","11.2007",-14.6945000002111,49.9746944443389,195.9,155.842681884766,158,115.15,133.01,612,0.476731459299723,79,216,2068,1946
"JariAla (DGF/USAID)","22-05","22-05B","moist","11.2007",-14.6945000002111,49.9746944443389,187.5,155.842681884766,158,115.15,133.01,612,0.476731459299723,79,216,2068,1946
"JariAla (DGF/USAID)","22-05","22-05C","moist","11.2007",-14.6945000002111,49.9746944443389,220.8,155.842681884766,158,115.15,133.01,612,0.476731459299723,79,216,2068,1946
"JariAla (DGF/USAID)","22-06","22-06A","moist","11.2007",-14.5186666666136,50.0286666668778,165.2,154.629791259766,153,40.42,69.09,85,0.550070226192474,53.3333333333333,242,1802,1921
"JariAla (DGF/USAID)","22-06","22-06B","moist","11.2007",-14.5186666666136,50.0286666668778,203.1,154.629791259766,153,40.42,69.09,85,0.550070226192474,53.3333333333333,242,1802,1921
"JariAla (DGF/USAID)","22-06","22-06C","moist","11.2007",-14.5186666666136,50.0286666668778,234.7,154.629791259766,153,40.42,69.09,85,0.550070226192474,53.3333333333333,242,1802,1921
"JariAla (DGF/USAID)","22-07","22-07A","moist","11.2007",-14.5176111111375,50.0113611115361,141.2,156.987731933594,163,63.45,74.73,136,0.569475750128428,44,241,1827,1924
